Date,Open,High,Low,Close,Adj Close,Volume
2006-12-07,30.000000,30.450001,30.000000,30.049999,28.424335,28900
2006-12-08,30.049999,30.500000,30.000000,30.139999,28.509462,32200
2006-12-11,30.200001,30.889999,30.049999,30.889999,29.218891,2000
2006-12-12,30.790001,33.180000,30.500000,32.950001,31.167448,7500
2006-12-13,33.470001,33.470001,32.799999,33.000000,31.214743,2900
2006-12-14,32.950001,33.500000,32.500000,32.500000,30.741795,1900
2006-12-15,33.000000,33.000000,31.000000,32.500000,30.741795,1700
2006-12-18,32.340000,32.340000,30.500000,31.450001,29.748598,3000
2006-12-19,31.700001,31.700001,30.000000,30.500000,28.849993,800
2006-12-20,30.600000,31.700001,30.600000,31.700001,29.985075,300
2006-12-21,31.700001,31.700001,30.600000,31.000000,29.322941,600
2006-12-22,31.000000,31.200001,30.780001,31.000000,29.322941,1200
2006-12-27,31.500000,31.500000,30.510000,30.520000,28.868910,400
2006-12-28,30.520000,31.490000,29.990000,30.900000,29.228354,1100
2006-12-29,30.900000,31.400000,30.500000,31.400000,29.701302,1400
2007-01-02,31.000000,31.000000,31.000000,31.000000,29.322941,300
2007-01-03,31.200001,31.799999,31.049999,31.799999,30.079662,500
2007-01-04,31.000000,31.000000,31.000000,31.000000,29.322941,400
2007-01-05,31.100000,31.100000,30.900000,31.000000,29.322941,100
2007-01-08,31.400000,31.450001,30.799999,30.799999,29.133762,600
2007-01-09,30.600000,31.490000,30.200001,30.500000,28.849993,600
2007-01-10,30.600000,30.600000,30.500000,30.500000,28.849993,1000
2007-01-11,30.000000,31.000000,29.750000,30.299999,28.660810,3100
2007-01-12,30.299999,30.299999,29.110001,29.129999,27.554104,1000
2007-01-15,30.100000,30.100000,30.059999,30.070000,28.443254,300
2007-01-16,30.070000,30.120001,30.059999,30.120001,28.490547,100
2007-01-17,30.120001,30.120001,30.120001,30.120001,28.490547,0
2007-01-18,31.000000,31.639999,30.670000,30.670000,29.010792,1900
2007-01-19,30.100000,30.950001,30.049999,30.100000,28.471628,400
2007-01-22,30.100000,31.450001,30.000000,31.450001,29.748598,2300
2007-01-23,31.450001,31.900000,31.020000,31.900000,30.174252,500
2007-01-24,31.900000,34.000000,31.650000,33.020000,31.233665,1700
2007-01-25,33.400002,33.400002,32.810001,32.810001,31.035027,300
2007-01-26,33.099998,33.500000,33.000000,33.000000,31.214743,800
2007-01-29,33.500000,33.549999,33.099998,33.549999,31.734991,800
2007-01-30,33.009998,33.500000,33.000000,33.200001,31.403925,700
2007-01-31,33.200001,33.250000,33.200001,33.250000,31.451220,68
2007-02-01,33.250000,34.000000,33.250000,34.000000,32.160645,25
2007-02-02,33.639999,33.639999,33.340000,33.340000,31.536350,200
2007-02-05,33.299999,33.299999,33.049999,33.049999,31.262037,100
2007-02-06,32.799999,32.889999,32.419998,32.889999,31.110691,100
2007-02-07,32.400002,32.400002,32.220001,32.220001,30.476942,10
2007-02-08,32.500000,32.990002,32.500000,32.990002,31.205286,10
2007-02-09,32.990002,32.990002,32.419998,32.419998,30.666121,100
2007-02-12,32.709999,32.709999,32.709999,32.709999,30.940434,100
2007-02-13,32.950001,32.950001,32.950001,32.950001,31.167448,30
2007-02-14,32.799999,32.799999,32.419998,32.419998,30.666121,40
2007-02-15,32.709999,32.709999,31.820000,32.099998,30.363430,200
2007-02-16,32.150002,32.500000,32.000000,32.500000,30.741795,800
2007-02-19,32.500000,32.500000,32.500000,32.500000,30.741795,300
2007-02-20,32.500000,32.500000,31.940001,31.940001,30.212088,300
2007-02-21,32.099998,32.099998,32.099998,32.099998,30.363430,0
2007-02-22,32.099998,32.720001,31.000000,31.150000,29.464827,200
